#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:P dur:2 cpbdur:2 q:29.03 aq:20.39 tex:3016 mv:2658 misc:1246 imb:110 pmb:220 smb:1290 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:29.03 aq:20.38 tex:3158 mv:2563 misc:1231 imb:108 pmb:227 smb:1285 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:29.03 aq:20.59 tex:3258 mv:2917 misc:1265 imb:116 pmb:243 smb:1261 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:29.03 aq:20.83 tex:3177 mv:2900 misc:1331 imb:136 pmb:224 smb:1260 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:29.03 aq:20.87 tex:3289 mv:2859 misc:1268 imb:99 pmb:263 smb:1258 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.03 aq:20.30 tex:3692 mv:2921 misc:1259 imb:102 pmb:245 smb:1273 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.03 aq:20.48 tex:3477 mv:2691 misc:1264 imb:109 pmb:231 smb:1280 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.03 aq:20.60 tex:3656 mv:3169 misc:1319 imb:116 pmb:271 smb:1233 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:19.75 tex:3642 mv:2935 misc:1295 imb:104 pmb:269 smb:1247 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:29.03 aq:20.29 tex:3421 mv:3018 misc:1321 imb:109 pmb:270 smb:1241 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.03 aq:20.32 tex:3122 mv:2778 misc:1268 imb:108 pmb:236 smb:1276 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:29.03 aq:20.56 tex:3215 mv:3138 misc:1279 imb:111 pmb:268 smb:1241 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:29.03 aq:20.80 tex:2898 mv:2624 misc:1262 imb:85 pmb:238 smb:1297 d:- ref:0 ;
